UnitID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
237358,69,68,72,66,65,70,50,55,61,77
194569,13,67,81,73,56,63,87,85,76,76
133386,,,,,,,,,,
165574,69,64,62,70,74,70,59,61,69,74
202514,46,55,60,59,56,53,58,62,59,63
130934,70,72,71,73,72,69,65,60,70,67
130907,,,,,61,57,54,56,55,55
211981,72,72,71,65,70,72,67,74,75,71
113537,,,,,,,,0,0,
175616,67,67,71,67,62,67,66,67,61,59
202523,90,89,91,89,87,89,89,92,90,89
126979,,,,,,,,,,
144740,85,86,84,85,84,87,85,85,86,87
150400,86,91,89,92,94,93,92,89,92,90
154156,,,,,,,,,,
210739,80,83,81,81,78,84,85,83,81,83
434900,73,63,66,60,60,70,69,71,72,85
443562,72,69,61,61,62,65,70,71,71,75
449135,73,62,59,61,59,63,68,75,74,78
469416,77,62,61,60,62,69,72,69,,
212009,87,92,90,90,92,90,90,91,90,90
200059,68,71,64,54,57,57,55,54,56,57
158802,67,69,70,72,75,75,59,68,64,65
105297,50,,,,80,80,80,83,100,
445869,,,,,,,,,,
153241,100,100,100,100,89,64,82,71,89,93
230171,57,53,56,54,58,54,60,54,57,63
181020,71,71,78,71,69,72,78,76,75,77
190761,68,75,74,69,71,72,67,64,67,74
113704,,,,,,,,,,
148496,77,83,81,72,79,81,82,80,82,81
113698,89,82,86,86,83,82,86,81,84,84
122117,,,,,,,,,,
155007,73,64,52,55,37,45,17,52,41,23
153250,81,76,81,88,81,84,80,79,81,76
449481,,,,,,,,,,
153269,84,89,87,88,88,89,88,88,88,85
184348,85,84,85,87,85,84,76,75,79,86
212054,89,89,89,89,84,84,86,85,85,83
177214,78,83,88,85,84,85,84,89,73,71
492801,62,76,,,,,,,,
198419,98,98,97,97,97,97,97,97,97,97
175227,90,100,82,50,0,0,50,67,100,100
212106,85,84,86,86,85,90,88,88,87,83
150455,80,82,86,80,81,84,88,83,86,82
198464,82,81,83,83,80,81,81,78,81,81
207041,64,58,46,52,64,66,63,59,65,69
139621,60,52,43,,,0,,,55,59
212115,67,69,70,72,72,74,71,70,78,77
220075,72,73,76,71,71,69,66,66,70,72
224527,62,63,55,68,52,61,57,52,59,64
144883,30,33,42,43,39,31,30,30,29,30
129215,77,80,77,76,73,77,78,76,76,77
132693,,,,,,,,63,69,67
144892,73,70,75,71,75,76,77,79,79,79
156620,75,73,73,74,74,72,71,68,66,69
232043,85,70,79,74,73,75,77,81,78,75
169798,70,72,72,75,74,73,74,75,76,76
165644,62,66,67,77,64,72,72,75,69,65
187648,63,62,63,59,57,59,58,63,64,62
